Year,Island of Mauritius 1 ,,Rodrigues 2,
,Arrivals,Departures,Arrivals ,Departures
1980,"163,230","167,269","6,042","5,722"
1981,"168,973","174,376","7,099","6,190"
1982,"166,669","171,991","6,333","5,680"
1983,"177,665","182,005","6,556","6,520"
1984,"198,461","202,983","7,172","7,471"
1985,"212,860","215,000","7,277","7,286"
1986,"235,640","236,850","7,975","7,906"
1987,"293,160","294,970","8,255","8,337"
1988,"343,940","341,330","9,146","10,128"
1989,"379,080","385,050","11,501","11,092"
1990,"418,200","422,230","13,110","13,492"
1991,"426,680","425,620","15,125","16,178"
1992,"475,920","472,010","19,064","19,865"
1993,"523,740","520,400","22,819","23,476"
1994,"534,500","534,283","23,292","23,636"
1995,"555,173","554,331","24,150","24,820"
1996,"642,700","634,372","29,129","29,370"
1997,"705,277","699,758","37,765","38,014"
1998,"738,021","735,350","40,648","40,553"
1999,"777,931","764,116","45,117","45,154"
2000,"865,222","846,039","49,530","49,981"
2001,"858,182","850,296","52,777","52,307"
2002,"891,106","882,521","60,355","59,984"
2003,"904,990","884,190","63,649 3","63,937"
2004,"939,715","918,460","61,042 3","60,830"
2005,"989,913","976,132","53, 534 3","53,987"
2006,"1,016,864","1,004,706","55,368 3","56,015"
2007,"1,177,231","1,176,130","61,617","61,595"
2008,"1,226,428","1,206,749","54,433","54,212"
2009,"1,156,579","1,153,569","52,981","53,426"
2010,"1,252,038","1,257,008","60,573","60,662"
2011,"1,294,387","1,293,139","65,423","64,564"
2012,"1,286,844","1,286,091","67,527","67,745"
2013,"1,321,633","1,320,887","69,762","69,848"
2014,"1,389,213","1,385,137","69,514","69,660"
2015,"1,522,179","1,519,270","81,926 3","80,971"
2016,"1,684,835","1,679,752","94,270 3","92,124"
2017,"1,779,824","1,775,994","97,827 3","97,349"
2018,"1,861,778","1,859,208","98,418 3","98,228"
2019,"1,874,768","1,880,378","100,496 3","100,624"
2020,"442,320","491,346","59,999 3","59,534"
2021,"246,260","227,544","15,747","13,012"
2022,"1,326,977","1,302,655","83,619 3","80,403"
