Year,Mauritius Arrivals,Mauritius Departures,Rodrigues Arrivals , Rodrigues Departures
1980,163230,167269,6042,5722
1981,168973,174376,7099,6190
1982,166669,171991,6333,5680
1983,177665,182005,6556,6520
1984,198461,202983,7172,7471
1985,212860,215000,7277,7286
1986,235640,236850,7975,7906
1987,293160,294970,8255,8337
1988,343940,341330,9146,10128
1989,379080,385050,11501,11092
1990,418200,422230,13110,13492
1991,426680,425620,15125,16178
1992,475920,472010,19064,19865
1993,523740,520400,22819,23476
1994,534500,534283,23292,23636
1995,555173,554331,24150,24820
1996,642700,634372,29129,29370
1997,705277,699758,37765,38014
1998,738021,735350,40648,40553
1999,777931,764116,45117,45154
2000,865222,846039,49530,49981
2001,858182,850296,52777,52307
2002,891106,882521,60355,59984
2003,904990,884190,"63,649 3",63937
2004,939715,918460,"61,042 3",60830
2005,989913,976132,"53, 534 3",53987
2006,1016864,1004706,"55,368 3",56015
2007,1177231,1176130,61617,61595
2008,1226428,1206749,54433,54212
2009,1156579,1153569,52981,53426
2010,1252038,1257008,60573,60662
2011,1294387,1293139,65423,64564
2012,1286844,1286091,67527,67745
2013,1321633,1320887,69762,69848
2014,1389213,1385137,69514,69660
2015,1522179,1519270,"81,926 3",80971
2016,1684835,1679752,"94,270 3",92124
2017,1779824,1775994,"97,827 3",97349
2018,1861778,1859208,"98,418 3",98228
2019,1874768,1880378,"100,496 3",100624
2020,442320,491346,"59,999 3",59534
2021,246260,227544,15747,13012
2022,1326977,1302655,"83,619 3",80403
